PlatformName,PlatformURL,FoodType,ServiceType,BusinessModelType,BusinessNameAvailable,BusinessAddressAvailable,FHRSShown,FHRSRequiredOnRegistration,ScrapingRestrictions,ScrapingRestrictionsURL,OfficialAPIURL,RobotsURL,RobotsAllowsSearch,Javascript,LastUpdated,LastUpdatedBy
InYourArea,https://www.inyourarea.co.uk/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,Yes,No mention,Needs license,https://www.inyourarea.co.uk/news/terms-and-conditions//,No Official API,https://www.inyourarea.co.uk/robots.txt,Yes,Yes,29/08/20,Pivigo Team
Jaspers,http://www.jaspersonline.co.uk/,Food Activities,Sellers,Large Caterings,NA,NA,No,NA,No - no data access terms,http://www.jaspersonline.co.uk/terms-and-conditions,No Official API,http://www.jaspersonline.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
JustEat,https://www.just-eat.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Yes,Yes,"Yes, but",Yes - specific,https://www.just-eat.co.uk/info/terms-and-conditions,https://developers.just-eat.com/docs/api-integration,https://www.just-eat.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
Karma,https://karma.life/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),29/08/20,Pivigo Team
Kukd,https://www.kukd.com/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Yes,No,No mention,No - if non-commercial,https://www.kukd.com/privacy-policy#link9,No Official API,https://www.kukd.com/robots.txt,Yes,No,29/08/20,Pivigo Team
LaBelleAssiette,https://labelleassiette.co.uk/,Food Activities,Intermediaries,Ordering & Logistics - Food Handling,Yes,No,No,No mention,Yes - indirect,http://terms.labelleassiette.co.uk/,No Official API,https://labelleassiette.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
Londonist,https://londonist.com/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,No - no data access terms,https://londonist.com/london/uncategorized/cookies-and-privacy-policy-2018,No Official API,https://londonist.com/robots.txt,Yes,No,29/08/20,Pivigo Team
LondonPopUps,http://www.londonpopups.com/,Food Activities,Compilators,Listings,Yes,No,No,No mention,No - no data access terms,http://www.londonpopups.com/p/london-supper-clubs.html,No Official API,http://www.londonpopups.com/robots.txt,No,No,29/08/20,Pivigo Team
Luto,http://www.lutolondon.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,http://www.lutolondon.com/robots.txt,No ,No,29/08/20,Pivigo Team
MamSham,https://www.mamsham.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://www.mamsham.com/robots.txt,Yes,No,29/08/20,Pivigo Team
